threshold,tp,tn,fp,fn,sensitivity,specificity,ppv,npv,youden_j,meets_ps_target
0.224,148,194,23,1,0.9932885906040269,0.8940092165898618,0.8654970760233918,0.9948717948717949,0.8872978071938886,True
0.225,148,194,23,1,0.9932885906040269,0.8940092165898618,0.8654970760233918,0.9948717948717949,0.8872978071938886,True
0.226,148,195,22,1,0.9932885906040269,0.8986175115207373,0.8705882352941177,0.9948979591836735,0.8919061021247643,True
0.227,148,195,22,1,0.9932885906040269,0.8986175115207373,0.8705882352941177,0.9948979591836735,0.8919061021247643,True
0.228,148,195,22,1,0.9932885906040269,0.8986175115207373,0.8705882352941177,0.9948979591836735,0.8919061021247643,True
0.229,148,195,22,1,0.9932885906040269,0.8986175115207373,0.8705882352941177,0.9948979591836735,0.8919061021247643,True
0.23,148,195,22,1,0.9932885906040269,0.8986175115207373,0.8705882352941177,0.9948979591836735,0.8919061021247643,True
0.231,148,195,22,1,0.9932885906040269,0.8986175115207373,0.8705882352941177,0.9948979591836735,0.8919061021247643,True
0.232,148,195,22,1,0.9932885906040269,0.8986175115207373,0.8705882352941177,0.9948979591836735,0.8919061021247643,True
0.233,148,195,22,1,0.9932885906040269,0.8986175115207373,0.8705882352941177,0.9948979591836735,0.8919061021247643,True
0.234,148,195,22,1,0.9932885906040269,0.8986175115207373,0.8705882352941177,0.9948979591836735,0.8919061021247643,True
0.23500000000000001,148,195,22,1,0.9932885906040269,0.8986175115207373,0.8705882352941177,0.9948979591836735,0.8919061021247643,True
0.23600000000000002,148,195,22,1,0.9932885906040269,0.8986175115207373,0.8705882352941177,0.9948979591836735,0.8919061021247643,True
0.23700000000000002,148,195,22,1,0.9932885906040269,0.8986175115207373,0.8705882352941177,0.9948979591836735,0.8919061021247643,True
0.23800000000000002,148,195,22,1,0.9932885906040269,0.8986175115207373,0.8705882352941177,0.9948979591836735,0.8919061021247643,True
0.23900000000000002,148,195,22,1,0.9932885906040269,0.8986175115207373,0.8705882352941177,0.9948979591836735,0.8919061021247643,True
0.24000000000000002,148,195,22,1,0.9932885906040269,0.8986175115207373,0.8705882352941177,0.9948979591836735,0.8919061021247643,True
0.24100000000000002,148,195,22,1,0.9932885906040269,0.8986175115207373,0.8705882352941177,0.9948979591836735,0.8919061021247643,True
0.24200000000000002,148,195,22,1,0.9932885906040269,0.8986175115207373,0.8705882352941177,0.9948979591836735,0.8919061021247643,True
0.24300000000000002,148,195,22,1,0.9932885906040269,0.8986175115207373,0.8705882352941177,0.9948979591836735,0.8919061021247643,True
0.24400000000000002,148,195,22,1,0.9932885906040269,0.8986175115207373,0.8705882352941177,0.9948979591836735,0.8919061021247643,True
0.24500000000000002,148,195,22,1,0.9932885906040269,0.8986175115207373,0.8705882352941177,0.9948979591836735,0.8919061021247643,True
0.24600000000000002,148,195,22,1,0.9932885906040269,0.8986175115207373,0.8705882352941177,0.9948979591836735,0.8919061021247643,True
0.24700000000000003,148,195,22,1,0.9932885906040269,0.8986175115207373,0.8705882352941177,0.9948979591836735,0.8919061021247643,True
0.24800000000000003,148,195,22,1,0.9932885906040269,0.8986175115207373,0.8705882352941177,0.9948979591836735,0.8919061021247643,True
0.24900000000000003,148,195,22,1,0.9932885906040269,0.8986175115207373,0.8705882352941177,0.9948979591836735,0.8919061021247643,True
0.25,148,195,22,1,0.9932885906040269,0.8986175115207373,0.8705882352941177,0.9948979591836735,0.8919061021247643,True
0.251,148,195,22,1,0.9932885906040269,0.8986175115207373,0.8705882352941177,0.9948979591836735,0.8919061021247643,True
0.252,148,195,22,1,0.9932885906040269,0.8986175115207373,0.8705882352941177,0.9948979591836735,0.8919061021247643,True
0.253,148,195,22,1,0.9932885906040269,0.8986175115207373,0.8705882352941177,0.9948979591836735,0.8919061021247643,True
0.254,148,196,21,1,0.9932885906040269,0.9032258064516129,0.8757396449704142,0.9949238578680203,0.8965143970556397,True
0.255,148,197,20,1,0.9932885906040269,0.9078341013824884,0.8809523809523809,0.9949494949494949,0.9011226919865152,True
0.256,148,197,20,1,0.9932885906040269,0.9078341013824884,0.8809523809523809,0.9949494949494949,0.9011226919865152,True
0.257,147,197,20,2,0.9865771812080537,0.9078341013824884,0.8802395209580839,0.9899497487437185,0.8944112825905421,True
0.258,147,197,20,2,0.9865771812080537,0.9078341013824884,0.8802395209580839,0.9899497487437185,0.8944112825905421,True
0.259,147,197,20,2,0.9865771812080537,0.9078341013824884,0.8802395209580839,0.9899497487437185,0.8944112825905421,True
0.26,147,197,20,2,0.9865771812080537,0.9078341013824884,0.8802395209580839,0.9899497487437185,0.8944112825905421,True
0.261,147,197,20,2,0.9865771812080537,0.9078341013824884,0.8802395209580839,0.9899497487437185,0.8944112825905421,True
0.262,147,197,20,2,0.9865771812080537,0.9078341013824884,0.8802395209580839,0.9899497487437185,0.8944112825905421,True
0.263,147,197,20,2,0.9865771812080537,0.9078341013824884,0.8802395209580839,0.9899497487437185,0.8944112825905421,True
0.264,147,197,20,2,0.9865771812080537,0.9078341013824884,0.8802395209580839,0.9899497487437185,0.8944112825905421,True
0.265,147,197,20,2,0.9865771812080537,0.9078341013824884,0.8802395209580839,0.9899497487437185,0.8944112825905421,True
0.266,147,197,20,2,0.9865771812080537,0.9078341013824884,0.8802395209580839,0.9899497487437185,0.8944112825905421,True
0.267,147,197,20,2,0.9865771812080537,0.9078341013824884,0.8802395209580839,0.9899497487437185,0.8944112825905421,True
0.268,147,197,20,2,0.9865771812080537,0.9078341013824884,0.8802395209580839,0.9899497487437185,0.8944112825905421,True
0.269,147,197,20,2,0.9865771812080537,0.9078341013824884,0.8802395209580839,0.9899497487437185,0.8944112825905421,True
0.27,147,197,20,2,0.9865771812080537,0.9078341013824884,0.8802395209580839,0.9899497487437185,0.8944112825905421,True
0.271,147,197,20,2,0.9865771812080537,0.9078341013824884,0.8802395209580839,0.9899497487437185,0.8944112825905421,True
0.272,147,197,20,2,0.9865771812080537,0.9078341013824884,0.8802395209580839,0.9899497487437185,0.8944112825905421,True
